Current Price|Likes|Item|Title|Old Price|Discount|Brand|Link
350 грн|1|Складная кисть для губ zoeva 330|Складная кисть для губ zoeva 330|||Zoeva|https://shafa.ua/cosmetics/aksessuary-dlya-krasoty/kisti/100023914-skladnaya-kist-dlya-gub-zoeva-330
525 грн|1|Палетка для лица ciate london everyday vacay palette ( в сша - $30)|Палетка для лица ciate london everyday vacay palette ( в сша - $30)|||Ciate London|https://shafa.ua/cosmetics/dekorativnaya/nabory/99986567-paletka-dlya-lica-ciate-london-everyday-vacay-palette-v-ssha-30
190 грн|2|Черный карандаш для глаз clinique quickliner for eyes intense|Черный карандаш для глаз clinique quickliner for eyes intense|||Clinique|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/karandashi/99986328-chernyy-karandash-dlya-glaz-clinique-quickliner-for-eyes-intense
55 грн|0|Пробник парфюмированая вода givenchy l'interdit eau de parfum|Пробник парфюмированая вода givenchy l'interdit eau de parfum|||Givenchy|https://shafa.ua/cosmetics/parfyumeriya/probniki/99984824-probnik-parfyumirovanaya-voda-givenchy-linterdit-eau-de-parfum
450 грн|2|Двойная тушь huda beauty legit lashes double ended mascara|Двойная тушь huda beauty legit lashes double ended mascara|||Huda Beauty|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/tush/99897970-dvoynaya-tush-huda-beauty-legit-lashes-double-ended-mascara
50 грн|0|Пробник парфюмированная вода aerin lauder amber musk|Пробник парфюмированная вода aerin lauder amber musk||||https://shafa.ua/cosmetics/parfyumeriya/probniki/99989384-probnik-parfyumirovannaya-voda-aerin-lauder-amber-musk
150 грн|4|Очищающий скраб для кожи головы naturelab tokyo perfect shine clarifying scalp scrub|Очищающий скраб для кожи головы naturelab tokyo perfect shine clarifying scalp scrub||||https://shafa.ua/cosmetics/dlya-volos/shampuni/99986891-ochishayushiy-skrab-dlya-kozhi-golovy-naturelab-tokyo-perfect-shine
110 грн|1|Гель для завивки локонов mizani true textures perfect coil oil gel|Гель для завивки локонов mizani true textures perfect coil oil gel||||https://shafa.ua/cosmetics/dlya-volos/masla/99985874-gel-dlya-zavivki-lokonov-mizani-true-textures-perfect-coil-oil-gel
120 грн|4|Несмываемая термозащита от распушивания волос mizani 25 miracle milk leave-in conditioner|Несмываемая термозащита от распушивания волос mizani 25 miracle milk leave-in conditioner||||https://shafa.ua/cosmetics/dlya-volos/sredstva-dlya-zashchity/99698952-nesmyvaemaya-termozashita-ot-raspushivaniya-volos-mizani-25-miracle
500 грн|1|Полноразмерный карандаш для бровей anastasia beverly hills brow wiz|Полноразмерный карандаш для бровей anastasia beverly hills brow wiz|||Anastasia Beverly Hills|https://shafa.ua/cosmetics/dekorativnaya/dlya-brovej/karandashi/99989970-polnorazmernyy-karandash-dlya-brovyay-anastasia-beverly-hills-brow
135 грн|4|Крем для укладки вьющихся волос mizani 25 miracle cream|Крем для укладки вьющихся волос mizani 25 miracle cream||||https://shafa.ua/cosmetics/dlya-volos/stajling/gel-dlya-fiksacii/99500842-krem-dlya-ukladki-vyushihsya-volos-mizani-25-miracle-cream
800 грн|2|Восстанавливающее масло для лица malin+goetz recovery treatment oil|Восстанавливающее масло для лица malin+goetz recovery treatment oil||||https://shafa.ua/cosmetics/dlya-lica/maslo/99009722-vosstanavlivayushee-maslo-dlya-lica-malingoetz-recovery-treatment
